 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | c-tag Eigenvar. 14 | -0.000234316 / 0.000234311 | -2.1942e-05 / 2.19248e-05 | -5.19487e-05 / 5.1958e-05 | -0.00100177 / 0.00100175 | -0.00034731 / 0.000347322 | 0.000526156 / -0.000526136 | -0.000257133 / 0.000257148 | -0.00043244 / 0.000432413 | -0.000701435 / 0.000701439 | -0.00187617 / 0.00187618 |
 | c-tag Eigenvar. 15 | -0.00075101 / 0.000751005 | -8.58744e-05 / 8.58572e-05 | -9.14015e-05 / 9.14108e-05 | -0.00096815 / 0.000968128 | -0.000281582 / 0.000281528 | -0.000108709 / 0.000108729 | -0.000981914 / 0.000981867 | -0.000303371 / 0.000303345 | -5.3249e-05 / 5.32529e-05 | -0.0011953 / 0.00119531 |
 | c-tag Eigenvar. 16 | 0.00155344 / -0.00155345 | 0.000282564 / -0.000282581 | 0.000393984 / -0.000393975 | -0.000561209 / 0.000561261 | 9.18008e-05 / -9.1855e-05 | 0.000920413 / -0.000920393 | -3.37804e-05 / 3.37957e-05 | 9.56166e-05 / -9.56432e-05 | -0.00069611 / 0.000696114 | 0.00034547 / -0.000345531 |
 | c-tag Eigenvar. 17 | -0.000681433 / 0.000681428 | -0.000290159 / 0.000290249 | -0.000647278 / 0.000647287 | -0.00056783 / 0.000567808 | -0.000420561 / 0.000420507 | -0.000752297 / 0.000752317 | -0.000208613 / 0.000208566 | -0.000183005 / 0.000182979 | -0.00276302 / 0.00276302 | -0.000652458 / 0.000652467 |
 | c-tag Eigenvar. 18 | 0.00173013 / -0.00173014 | 0.00027029 / -0.000270307 | 0.000380264 / -0.000380255 | -0.000379072 / 0.00037905 | -0.000126633 / 0.000126645 | 0.00313568 / -0.00313576 | 0.000216778 / -0.000216762 | 8.72485e-05 / -8.72752e-05 | 0.0040746 / -0.00407459 | -0.000125607 / 0.000125616 |
 | c-tag Eigenvar. 19 | -0.00386684 / 0.00386684 | -0.000760313 / 0.000760296 | -0.00280499 / 0.002805 | -0.000973152 / 0.00097313 | -0.00119095 / 0.00119096 | -0.00450754 / 0.00450756 | -0.00111863 / 0.00111865 | -0.000549659 / 0.000549633 | -0.00448687 / 0.00448688 | -0.001376 / 0.00137601 |
 | c-tag Eigenvar. 20 | -0.000515369 / 0.000515363 | -0.000472137 / 0.00047212 | -0.00131657 / 0.00131658 | -0.000911802 / 0.000911854 | -0.00249548 / 0.00249543 | -0.000948159 / 0.000948179 | -0.000737562 / 0.000737578 | -0.000946371 / 0.000946344 | 0.000316621 / -0.000316617 | -0.00182853 / 0.00182854 |
 | light-tag Eigenvar. 1 | -0.00239421 / 0.00239418 | -0.000304346 / 0.000304328 | -0.00241245 / 0.00241243 | -0.0319312 / 0.0319265 | -0.00047788 / 0.000477825 | 0.0068169 / -0.00681713 | -0.0610898 / 0.0610747 | -0.0278284 / 0.0278248 | -0.0396689 / 0.039662 | -0.0480228 / 0.048013 |
 | light-tag Eigenvar. 2 | 0.000960723 / -0.000960735 | 0.000559514 / -0.000559533 | 0.00122337 / -0.00122343 | 0.00892978 / -0.00893034 | 0.000728552 / -0.000728609 | -0.00214172 / 0.00214171 | 0.0102034 / -0.0102041 | 0.00738065 / -0.00738105 | 0.00958126 / -0.00958187 | 0.0110022 / -0.0110031 |
 | light-tag Eigenvar. 3 | 0.00010994 / -0.000109945 | -7.23195e-05 / 7.23023e-05 | 6.33609e-05 / -6.33516e-05 | 0.00428581 / -0.00428583 | -3.17363e-05 / 3.1748e-05 | 0.000188368 / -0.000188442 | 0.0040678 / -0.00406785 | 0.00389477 / -0.00389473 | 0.00203316 / -0.00203316 | 0.00415828 / -0.00415827 |
