 |       | FCNC      | t#bar{t} + jets      | t#bar{t} +  gam      | VV      | Single Top      | t#bar{t} + V      | W+Gam      | W + jets      | Z + jets      | Z+Gam |
 | light-tag Eigenvar. 9 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | light-tag Eigenvar. 10 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | light-tag Eigenvar. 11 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | light-tag Eigenvar. 12 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | light-tag Eigenvar. 13 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | light-tag Eigenvar. 14 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | light-tag Eigenvar. 15 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | light-tag Eigenvar. 16 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | light-tag Eigenvar. 17 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
 | light-tag Eigenvar. 18 | -nan / -nan | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 | -2.52621e-08 / -2.52621e-08 |
